surface	token_sequence	canonical_relation	relation_components	initial_relation_token_offset	final_adp_token_offset	source	notes
up outer side of	up outer side of	up outer side of	up|outer|side|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=compound; ngram_mean_frequency=1.76446721817e-11; ngram_max_frequency=8.51816395198e-11; ngram_nonzero_years=5; ngram_years=2000-2019
up outside of	up outside of	up outside of	up|outside|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=3.32349552091e-08; ngram_max_frequency=5.69194409487e-08; ngram_nonzero_years=20; ngram_years=2000-2019
up peak of	up peak of	up peak of	up|peak|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=5.9764206084e-11; ngram_max_frequency=3.19455989439e-10; ngram_nonzero_years=15; ngram_years=2000-2019
up rear of	up rear of	up rear of	up|rear|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=2.05526358779e-10; ngram_max_frequency=1.3691008327e-09; ngram_nonzero_years=19; ngram_years=2000-2019
up right corner of	up right corner of	up right corner of	up|right|corner|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=compound; ngram_mean_frequency=2.32216842977e-11; ngram_max_frequency=1.22421517368e-10; ngram_nonzero_years=7; ngram_years=2000-2019
up right of	up right of	up right of	up|right|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=7.5959820196e-10; ngram_max_frequency=1.5262897092e-09; ngram_nonzero_years=20; ngram_years=2000-2019
up right side of	up right side of	up right side of	up|right|side|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=compound; ngram_mean_frequency=6.22016912977e-10; ngram_max_frequency=2.31060770517e-09; ngram_nonzero_years=20; ngram_years=2000-2019
up rim of	up rim of	up rim of	up|rim|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=1.27654537982e-10; ngram_max_frequency=3.48489043178e-10; ngram_nonzero_years=20; ngram_years=2000-2019
up side of	up side of	up side of	up|side|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=1.26530307604e-08; ngram_max_frequency=1.58251951751e-08; ngram_nonzero_years=20; ngram_years=2000-2019
up summit of	up summit of	up summit of	up|summit|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=4.19689222611e-11; ngram_max_frequency=2.00600910882e-10; ngram_nonzero_years=10; ngram_years=2000-2019
up surface of	up surface of	up surface of	up|surface|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=9.00826838124e-10; ngram_max_frequency=1.25927690497e-09; ngram_nonzero_years=20; ngram_years=2000-2019
up the apex of	up the apex of	up the apex of	up|the|apex|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=4.51279529717e-10; ngram_max_frequency=7.12259473623e-10; ngram_nonzero_years=20; ngram_years=2000-2019
up the back corner of	up the back corner of	up the back corner of	up|the|back|corner|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=1.98587806442e-10; ngram_max_frequency=4.23442281239e-10; ngram_nonzero_years=19; ngram_years=2000-2019
up the back edge of	up the back edge of	up the back edge of	up|the|back|edge|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=1.80353631335e-10; ngram_max_frequency=3.99533350848e-10; ngram_nonzero_years=16; ngram_years=2000-2019
up the back half of	up the back half of	up the back half of	up|the|back|half|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=7.48819306562e-10; ngram_max_frequency=1.51525259007e-09; ngram_nonzero_years=20; ngram_years=2000-2019
up the back of	up the back of	up the back of	up|the|back|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=1.61103417891e-07; ngram_max_frequency=2.77457840023e-07; ngram_nonzero_years=20; ngram_years=2000-2019
up the back part of	up the back part of	up the back part of	up|the|back|part|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=6.56185999981e-10; ngram_max_frequency=1.34388489226e-09; ngram_nonzero_years=20; ngram_years=2000-2019
up the back side of	up the back side of	up the back side of	up|the|back|side|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=3.56996200379e-09; ngram_max_frequency=5.69751801294e-09; ngram_nonzero_years=20; ngram_years=2000-2019
up the background of	up the background of	up the background of	up|the|background|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=2.48352799437e-09; ngram_max_frequency=4.18135925884e-09; ngram_nonzero_years=20; ngram_years=2000-2019
up the base of	up the base of	up the base of	up|the|base|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=1.1930187549e-08; ngram_max_frequency=1.67085403291e-08; ngram_nonzero_years=20; ngram_years=2000-2019
