surface	token_sequence	canonical_relation	relation_components	initial_relation_token_offset	final_adp_token_offset	source	notes
in the inside of	in the inside of	in the inside of	in|the|inside|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=4.02079604956e-08; ngram_max_frequency=6.5111090769e-08; ngram_nonzero_years=20; ngram_years=2000-2019
in the interest of	in the interest of	in the interest of	in|the|interest|of	0	3	TPP	source_count=1; source_row_count=1
in the interests of	in the interests of	in the interests of	in|the|interests|of	0	3	TPP	source_count=1; source_row_count=1
in the interior of	in the interior of	in the interior of	in|the|interior|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=6.88763918449e-07; ngram_max_frequency=7.67171603328e-07; ngram_nonzero_years=20; ngram_years=2000-2019
in the left corner of	in the left corner of	in the left corner of	in|the|left|corner|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=1.34061540619e-08; ngram_max_frequency=1.85740636205e-08; ngram_nonzero_years=20; ngram_years=2000-2019
in the left edge of	in the left edge of	in the left edge of	in|the|left|edge|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=9.279584684e-10; ngram_max_frequency=1.68185276817e-09; ngram_nonzero_years=20; ngram_years=2000-2019
in the left half of	in the left half of	in the left half of	in|the|left|half|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=2.77944790987e-08; ngram_max_frequency=3.5217509714e-08; ngram_nonzero_years=20; ngram_years=2000-2019
in the left of	in the left of	in the left of	in|the|left|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=1.62047591679e-08; ngram_max_frequency=1.98105144511e-08; ngram_nonzero_years=20; ngram_years=2000-2019
in the left part of	in the left part of	in the left part of	in|the|left|part|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=3.14691915637e-08; ngram_max_frequency=4.02023707657e-08; ngram_nonzero_years=20; ngram_years=2000-2019
in the left side of	in the left side of	in the left side of	in|the|left|side|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=8.23235820457e-08; ngram_max_frequency=1.02844331384e-07; ngram_nonzero_years=20; ngram_years=2000-2019
in the light of	in the light of	in the light of	in|the|light|of	0	3	TPP|PDEP|WIKTIONARY	source_count=3; source_row_count=3
in the lower corner of	in the lower corner of	in the lower corner of	in|the|lower|corner|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=8.05574553037e-09; ngram_max_frequency=1.16033749831e-08; ngram_nonzero_years=20; ngram_years=2000-2019
in the lower edge of	in the lower edge of	in the lower edge of	in|the|lower|edge|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=2.10190060652e-09; ngram_max_frequency=3.09647729679e-09; ngram_nonzero_years=20; ngram_years=2000-2019
in the lower half of	in the lower half of	in the lower half of	in|the|lower|half|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=1.05905505984e-07; ngram_max_frequency=1.26640743656e-07; ngram_nonzero_years=20; ngram_years=2000-2019
in the lower part of	in the lower part of	in the lower part of	in|the|lower|part|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=3.67877896273e-07; ngram_max_frequency=4.63390101554e-07; ngram_nonzero_years=20; ngram_years=2000-2019
in the lower side of	in the lower side of	in the lower side of	in|the|lower|side|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=2.55901405465e-09; ngram_max_frequency=3.20661677766e-09; ngram_nonzero_years=20; ngram_years=2000-2019
in the margin of	in the margin of	in the margin of	in|the|margin|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=1.61288200665e-07; ngram_max_frequency=1.94329808863e-07; ngram_nonzero_years=20; ngram_years=2000-2019
in the matter of	in the matter of	in the matter of	in|the|matter|of	0	3	TPP|PDEP	source_count=2; source_row_count=2
in the middle of	in the middle of	in the middle of	in|the|middle|of	0	3	WIKTIONARY|STREUSLE	source_count=2; source_row_count=2
in the midst of	in the midst of	in the midst of	in|the|midst|of	0	3	TPP|PDEP|WIKTIONARY|STREUSLE	source_count=4; source_row_count=4
in the name of	in the name of	in the name of	in|the|name|of	0	3	TPP|PDEP|WIKTIONARY|PASTRIE	source_count=4; source_row_count=4
in the nature of	in the nature of	in the nature of	in|the|nature|of	0	3	TPP	source_count=1; source_row_count=1
in the near edge of	in the near edge of	in the near edge of	in|the|near|edge|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=5.6177517499e-11; ngram_max_frequency=1.65145452868e-10; ngram_nonzero_years=13; ngram_years=2000-2019
in the near end of	in the near end of	in the near end of	in|the|near|end|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=6.63079313332e-10; ngram_max_frequency=1.17878617978e-09; ngram_nonzero_years=20; ngram_years=2000-2019
in the near side of	in the near side of	in the near side of	in|the|near|side|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=4.84655188551e-10; ngram_max_frequency=7.66912700012e-10; ngram_nonzero_years=20; ngram_years=2000-2019
in the neighborhood of	in the neighborhood of	in the neighborhood of	in|the|neighborhood|of	0	3	WIKTIONARY	source_count=1; source_row_count=1
in the neighbourhood of	in the neighbourhood of	in the neighbourhood of	in|the|neighbourhood|of	0	3	WIKTIONARY	source_count=1; source_row_count=1
in the opening of	in the opening of	in the opening of	in|the|opening|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=2.20147742805e-07; ngram_max_frequency=2.6243448268e-07; ngram_nonzero_years=20; ngram_years=2000-2019
in the outer edge of	in the outer edge of	in the outer edge of	in|the|outer|edge|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=3.384164355e-09; ngram_max_frequency=4.97600605165e-09; ngram_nonzero_years=20; ngram_years=2000-2019
in the outer part of	in the outer part of	in the outer part of	in|the|outer|part|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=2.82730523285e-08; ngram_max_frequency=4.5501410903e-08; ngram_nonzero_years=20; ngram_years=2000-2019
in the outer side of	in the outer side of	in the outer side of	in|the|outer|side|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=1.35851611505e-09; ngram_max_frequency=2.65811656019e-09; ngram_nonzero_years=20; ngram_years=2000-2019
in the outer surface of	in the outer surface of	in the outer surface of	in|the|outer|surface|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=4.67732165516e-09; ngram_max_frequency=7.24816029418e-09; ngram_nonzero_years=20; ngram_years=2000-2019
in the outside of	in the outside of	in the outside of	in|the|outside|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=8.57219971031e-09; ngram_max_frequency=1.14699663101e-08; ngram_nonzero_years=20; ngram_years=2000-2019
in the pay of	in the pay of	in the pay of	in|the|pay|of	0	3	TPP|PDEP|WIKTIONARY	source_count=3; source_row_count=3
in the peak of	in the peak of	in the peak of	in|the|peak|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=2.79757101439e-08; ngram_max_frequency=4.168336077e-08; ngram_nonzero_years=20; ngram_years=2000-2019
in the perimeter of	in the perimeter of	in the perimeter of	in|the|perimeter|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=8.25832851183e-09; ngram_max_frequency=1.01057802161e-08; ngram_nonzero_years=20; ngram_years=2000-2019
in the periphery of	in the periphery of	in the periphery of	in|the|periphery|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=1.2629467033e-07; ngram_max_frequency=1.65207840241e-07; ngram_nonzero_years=20; ngram_years=2000-2019
in the person of	in the person of	in the person of	in|the|person|of	0	3	TPP|PDEP|WIKTIONARY	source_count=3; source_row_count=3
in the presence of	in the presence of	in the presence of	in|the|presence|of	0	3	WIKTIONARY	source_count=1; source_row_count=1
in the process of	in the process of	in the process of	in|the|process|of	0	3	WIKTIONARY|STREUSLE	source_count=2; source_row_count=2
in the rear of	in the rear of	in the rear of	in|the|rear|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=5.02223548816e-07; ngram_max_frequency=6.91219393084e-07; ngram_nonzero_years=20; ngram_years=2000-2019
in the region of	in the region of	in the region of	in|the|region|of	0	3	WIKTIONARY	source_count=1; source_row_count=1
in the right corner of	in the right corner of	in the right corner of	in|the|right|corner|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=1.16826791713e-08; ngram_max_frequency=1.57634069131e-08; ngram_nonzero_years=20; ngram_years=2000-2019
in the right edge of	in the right edge of	in the right edge of	in|the|right|edge|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=5.8452662155e-10; ngram_max_frequency=1.10293396638e-09; ngram_nonzero_years=20; ngram_years=2000-2019
in the right half of	in the right half of	in the right half of	in|the|right|half|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=2.69446460194e-08; ngram_max_frequency=3.40856363135e-08; ngram_nonzero_years=20; ngram_years=2000-2019
in the right of	in the right of	in the right of	in|the|right|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=1.14845259593e-07; ngram_max_frequency=1.4925614477e-07; ngram_nonzero_years=20; ngram_years=2000-2019
in the right part of	in the right part of	in the right part of	in|the|right|part|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=3.34925926659e-08; ngram_max_frequency=4.1565789477e-08; ngram_nonzero_years=20; ngram_years=2000-2019
in the right side of	in the right side of	in the right side of	in|the|right|side|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=8.74896247807e-08; ngram_max_frequency=1.13413640535e-07; ngram_nonzero_years=20; ngram_years=2000-2019
in the rim of	in the rim of	in the rim of	in|the|rim|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=1.15336363212e-08; ngram_max_frequency=1.37605971895e-08; ngram_nonzero_years=20; ngram_years=2000-2019
in the shadow of	in the shadow of	in the shadow of	in|the|shadow|of	0	3	WIKTIONARY	source_count=1; source_row_count=1
in the shape of	in the shape of	in the shape of	in|the|shape|of	0	3	TPP|PDEP	source_count=2; source_row_count=2
in the shoes of	in the shoes of	in the shoes of	in|the|shoes|of	0	3	WIKTIONARY	source_count=1; source_row_count=1
in the side of	in the side of	in the side of	in|the|side|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=5.14985431178e-07; ngram_max_frequency=6.75992530133e-07; ngram_nonzero_years=20; ngram_years=2000-2019
in the space of	in the space of	in the space of	in|the|space|of	0	3	WIKTIONARY	source_count=1; source_row_count=1
in the stead of	in the stead of	in the stead of	in|the|stead|of	0	3	WIKTIONARY	source_count=1; source_row_count=1
in the summit of	in the summit of	in the summit of	in|the|summit|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=8.10911183428e-09; ngram_max_frequency=1.35864715034e-08; ngram_nonzero_years=20; ngram_years=2000-2019
in the surface of	in the surface of	in the surface of	in|the|surface|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=1.3713053941e-07; ngram_max_frequency=1.72166229648e-07; ngram_nonzero_years=20; ngram_years=2000-2019
in the teeth of	in the teeth of	in the teeth of	in|the|teeth|of	0	3	TPP|PDEP|WIKTIONARY	source_count=3; source_row_count=3
in the thick of	in the thick of	in the thick of	in|the|thick|of	0	3	WIKTIONARY	source_count=1; source_row_count=1
in the throes of	in the throes of	in the throes of	in|the|throes|of	0	3	TPP|PDEP|WIKTIONARY	source_count=3; source_row_count=3
in the tip of	in the tip of	in the tip of	in|the|tip|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=3.62083584577e-08; ngram_max_frequency=4.81341194611e-08; ngram_nonzero_years=20; ngram_years=2000-2019
in the top of	in the top of	in the top of	in|the|top|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=4.61667584663e-07; ngram_max_frequency=5.78726189103e-07; ngram_nonzero_years=20; ngram_years=2000-2019
in the underside of	in the underside of	in the underside of	in|the|underside|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=atomic; ngram_mean_frequency=1.26865281952e-08; ngram_max_frequency=1.53531489466e-08; ngram_nonzero_years=20; ngram_years=2000-2019
in the upper corner of	in the upper corner of	in the upper corner of	in|the|upper|corner|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=1.05043077903e-08; ngram_max_frequency=1.32935644714e-08; ngram_nonzero_years=20; ngram_years=2000-2019
in the upper edge of	in the upper edge of	in the upper edge of	in|the|upper|edge|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=2.20411882565e-09; ngram_max_frequency=3.50922085141e-09; ngram_nonzero_years=20; ngram_years=2000-2019
in the upper half of	in the upper half of	in the upper half of	in|the|upper|half|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=8.26390173857e-08; ngram_max_frequency=1.03174434635e-07; ngram_nonzero_years=20; ngram_years=2000-2019
in the upper part of	in the upper part of	in the upper part of	in|the|upper|part|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=3.89802486568e-07; ngram_max_frequency=5.17035454194e-07; ngram_nonzero_years=20; ngram_years=2000-2019
in the upper side of	in the upper side of	in the upper side of	in|the|upper|side|of	0	4	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP the MID of; mid_type=compound; ngram_mean_frequency=3.53764518617e-09; ngram_max_frequency=4.7426233496e-09; ngram_nonzero_years=20; ngram_years=2000-2019
in the vein of	in the vein of	in the vein of	in|the|vein|of	0	3	WIKTIONARY	source_count=1; source_row_count=1
in the wake of	in the wake of	in the wake of	in|the|wake|of	0	3	WIKTIONARY	source_count=1; source_row_count=1
in the way of	in the way of	in the way of	in|the|way|of	0	3	TPP|WIKTIONARY	source_count=2; source_row_count=2
in tip of	in tip of	in tip of	in|tip|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=2.5575741012e-09; ngram_max_frequency=8.29813821823e-09; ngram_nonzero_years=20; ngram_years=2000-2019
in token of	in token of	in token of	in|token|of	0	2	TPP|PDEP|WIKTIONARY	source_count=3; source_row_count=3
in top of	in top of	in top of	in|top|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=5.38701650323e-08; ngram_max_frequency=1.3827379667e-07; ngram_nonzero_years=20; ngram_years=2000-2019
in underside of	in underside of	in underside of	in|underside|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=5.86551971403e-10; ngram_max_frequency=1.69124214633e-09; ngram_nonzero_years=20; ngram_years=2000-2019
in upper corner of	in upper corner of	in upper corner of	in|upper|corner|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=compound; ngram_mean_frequency=3.14405398938e-10; ngram_max_frequency=2.61480437302e-09; ngram_nonzero_years=16; ngram_years=2000-2019
in upper edge of	in upper edge of	in upper edge of	in|upper|edge|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=compound; ngram_mean_frequency=8.19345544537e-11; ngram_max_frequency=2.34314123659e-10; ngram_nonzero_years=15; ngram_years=2000-2019
in upper half of	in upper half of	in upper half of	in|upper|half|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=compound; ngram_mean_frequency=4.83371443896e-09; ngram_max_frequency=1.24791101896e-08; ngram_nonzero_years=20; ngram_years=2000-2019
in upper part of	in upper part of	in upper part of	in|upper|part|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=compound; ngram_mean_frequency=1.16494527136e-08; ngram_max_frequency=2.36065420961e-08; ngram_nonzero_years=20; ngram_years=2000-2019
in upper side of	in upper side of	in upper side of	in|upper|side|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=compound; ngram_mean_frequency=1.67899930417e-10; ngram_max_frequency=3.95419474941e-10; ngram_nonzero_years=19; ngram_years=2000-2019
in view of	in view of	in view of	in|view|of	0	2	TPP|PDEP|WIKTIONARY	source_count=3; source_row_count=3
in virtue of	in virtue of	in virtue of	in|virtue|of	0	2	TPP|PDEP|WIKTIONARY	source_count=3; source_row_count=3
in with	in with	in with	in|with	0	1	TPP	source_count=1; source_row_count=1
inclusive of	inclusive of	inclusive of	inclusive|of	0	1	TPP|PDEP	source_count=2; source_row_count=2
inshore of	inshore of	inshore of	inshore|of	0	1	TPP	source_count=1; source_row_count=1
inside apex of	inside apex of	inside apex of	inside|apex|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=9.21275299104e-11; ngram_max_frequency=4.4948589295e-10; ngram_nonzero_years=12; ngram_years=2000-2019
inside back corner of	inside back corner of	inside back corner of	inside|back|corner|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=compound; ngram_mean_frequency=3.99081767632e-11; ngram_max_frequency=1.91318155762e-10; ngram_nonzero_years=9; ngram_years=2000-2019
inside back edge of	inside back edge of	inside back edge of	inside|back|edge|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=compound; ngram_mean_frequency=1.25364841425e-10; ngram_max_frequency=3.06109054771e-10; ngram_nonzero_years=18; ngram_years=2000-2019
inside back of	inside back of	inside back of	inside|back|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=2.36012804413e-09; ngram_max_frequency=3.53250850793e-09; ngram_nonzero_years=20; ngram_years=2000-2019
inside back part of	inside back part of	inside back part of	inside|back|part|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=compound; ngram_mean_frequency=4.12583739742e-11; ngram_max_frequency=2.37419833793e-10; ngram_nonzero_years=9; ngram_years=2000-2019
inside base of	inside base of	inside base of	inside|base|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=1.37920644697e-09; ngram_max_frequency=2.05809687001e-09; ngram_nonzero_years=20; ngram_years=2000-2019
inside border of	inside border of	inside border of	inside|border|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=1.14321095351e-09; ngram_max_frequency=1.56178481259e-09; ngram_nonzero_years=20; ngram_years=2000-2019
inside bottom of	inside bottom of	inside bottom of	inside|bottom|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=5.08836991448e-09; ngram_max_frequency=6.83328771345e-09; ngram_nonzero_years=20; ngram_years=2000-2019
inside boundary of	inside boundary of	inside boundary of	inside|boundary|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=6.98312720149e-10; ngram_max_frequency=1.25927690497e-09; ngram_nonzero_years=20; ngram_years=2000-2019
inside center of	inside center of	inside center of	inside|center|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=1.46883143981e-09; ngram_max_frequency=2.14149720179e-09; ngram_nonzero_years=20; ngram_years=2000-2019
inside core of	inside core of	inside core of	inside|core|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=4.40150229458e-10; ngram_max_frequency=9.01917041052e-10; ngram_nonzero_years=20; ngram_years=2000-2019
inside corner of	inside corner of	inside corner of	inside|corner|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=1.75442877306e-08; ngram_max_frequency=2.24447590132e-08; ngram_nonzero_years=20; ngram_years=2000-2019
inside crest of	inside crest of	inside crest of	inside|crest|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=8.66134206023e-11; ngram_max_frequency=4.36164049322e-10; ngram_nonzero_years=13; ngram_years=2000-2019
inside doorway of	inside doorway of	inside doorway of	inside|doorway|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=9.60835151026e-11; ngram_max_frequency=3.19455989439e-10; ngram_nonzero_years=13; ngram_years=2000-2019
inside edge of	inside edge of	inside edge of	inside|edge|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=5.71349892373e-08; ngram_max_frequency=7.99492278908e-08; ngram_nonzero_years=20; ngram_years=2000-2019
inside end of	inside end of	inside end of	inside|end|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=2.83116314169e-09; ngram_max_frequency=5.03345898295e-09; ngram_nonzero_years=20; ngram_years=2000-2019
inside entrance of	inside entrance of	inside entrance of	inside|entrance|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=2.54385638249e-10; ngram_max_frequency=4.87173634767e-10; ngram_nonzero_years=20; ngram_years=2000-2019
inside face of	inside face of	inside face of	inside|face|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=2.65937911494e-08; ngram_max_frequency=4.679103216e-08; ngram_nonzero_years=20; ngram_years=2000-2019
inside flank of	inside flank of	inside flank of	inside|flank|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=8.21837846041e-11; ngram_max_frequency=4.4488962514e-10; ngram_nonzero_years=17; ngram_years=2000-2019
inside foot of	inside foot of	inside foot of	inside|foot|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=1.54376471329e-10; ngram_max_frequency=4.86922169252e-10; ngram_nonzero_years=19; ngram_years=2000-2019
inside front corner of	inside front corner of	inside front corner of	inside|front|corner|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=compound; ngram_mean_frequency=6.28125535959e-11; ngram_max_frequency=2.12011574963e-10; ngram_nonzero_years=16; ngram_years=2000-2019
inside front edge of	inside front edge of	inside front edge of	inside|front|edge|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=compound; ngram_mean_frequency=1.4327090174e-10; ngram_max_frequency=4.5516174163e-10; ngram_nonzero_years=17; ngram_years=2000-2019
inside front of	inside front of	inside front of	inside|front|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=2.12823763847e-09; ngram_max_frequency=7.18474169048e-09; ngram_nonzero_years=20; ngram_years=2000-2019
inside front part of	inside front part of	inside front part of	inside|front|part|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=compound; ngram_mean_frequency=2.41729844475e-11; ngram_max_frequency=1.58167784425e-10; ngram_nonzero_years=6; ngram_years=2000-2019
inside head of	inside head of	inside head of	inside|head|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=1.93450930622e-10; ngram_max_frequency=6.48468112541e-10; ngram_nonzero_years=18; ngram_years=2000-2019
inside heart of	inside heart of	inside heart of	inside|heart|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=1.9240998933e-10; ngram_max_frequency=1.0263968564e-09; ngram_nonzero_years=17; ngram_years=2000-2019
inside inside of	inside inside of	inside inside of	inside|inside|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=2.80268266754e-10; ngram_max_frequency=1.29249976e-09; ngram_nonzero_years=19; ngram_years=2000-2019
inside interior of	inside interior of	inside interior of	inside|interior|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=5.1451452647e-11; ngram_max_frequency=2.18082024661e-10; ngram_nonzero_years=10; ngram_years=2000-2019
inside left corner of	inside left corner of	inside left corner of	inside|left|corner|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=compound; ngram_mean_frequency=7.15302345133e-11; ngram_max_frequency=2.76329931159e-10; ngram_nonzero_years=16; ngram_years=2000-2019
inside left edge of	inside left edge of	inside left edge of	inside|left|edge|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=compound; ngram_mean_frequency=1.86972795059e-10; ngram_max_frequency=1.10531972464e-09; ngram_nonzero_years=16; ngram_years=2000-2019
inside left of	inside left of	inside left of	inside|left|of	0	2	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=atomic; ngram_mean_frequency=4.22493756647e-10; ngram_max_frequency=7.40751127104e-10; ngram_nonzero_years=20; ngram_years=2000-2019
inside left side of	inside left side of	inside left side of	inside|left|side|of	0	3	GOOGLE_NGRAM_RELATION_PATTERN	pattern=ADP MID of; mid_type=compound; ngram_mean_frequency=9.12525005212e-11; ngram_max_frequency=2.73366468351e-10; ngram_nonzero_years=15; ngram_years=2000-2019
